First_Name,Last_Name,Full_Name,GPA,Major,Relevant_Courses,Skills,Certifications,Previous_Experience,Preferred_Industry,Extracurriculars,Predicted_Job_Role
Liam,Smith,Liam Smith,2.58,Computer Science,"['Data Structures', 'Algorithms']","['C++', 'Java', 'SQL']",['Certified Ethical Hacker'],3,Healthcare,"['Research Assistant', 'Finance Club']",Software Engineering Intern
Emma,Johnson,Emma Johnson,3.87,Business Analytics,"['Business Intelligence', 'Data Analytics']","['Cloud Computing', 'Python', 'Financial Analysis']",['Google Data Analytics'],3,Finance,"['Student Government', 'Finance Club']",Financial Analyst Intern
Noah,Brown,Noah Brown,3.64,Data Analytics,"['Big Data', 'Statistics']","['Network Security', 'Java', 'Machine Learning']",['Google Data Analytics'],3,Finance,"['Student Government', 'Research Assistant']",Cybersecurity Intern
Olivia,Williams,Olivia Williams,3.76,Computer Science,"['Algorithms', 'Data Structures']","['Machine Learning', 'Financial Analysis', 'Python']",['Certified Ethical Hacker'],3,Finance,"['Coding Club', 'Finance Club']",Data Analyst Intern
Aiden,Jones,Aiden Jones,3.14,Computer Science,"['Machine Learning', 'Operating Systems']","['Cloud Computing', 'Python', 'Machine Learning']",['PMP'],2,Education,"['Student Government', 'Coding Club']",Data Analyst Intern
Sophia,Miller,Sophia Miller,3.32,Software Engineering,"['Databases', 'Software Development']","['SQL', 'Cloud Computing', 'Risk Management']",['CFA Level 1'],1,Finance,"['Finance Club', 'Hackathons']",Financial Analyst Intern
Jackson,Davis,Jackson Davis,3.46,Computer Science,"['Machine Learning', 'Data Structures']","['Risk Management', 'Data Analysis', 'Financial Analysis']",['AWS Certified'],2,Government,"['Research Assistant', 'Hackathons']",Data Analyst Intern
Ava,Garcia,Ava Garcia,3.45,Finance,"['Investment Analysis', 'Financial Modeling']","['Machine Learning', 'C++', 'Data Analysis']",['AWS Certified'],1,Finance,"['Hackathons', 'Coding Club']",Data Analyst Intern
Lucas,Rodriguez,Lucas Rodriguez,3.07,Business Analytics,"['Data Analytics', 'Predictive Analytics']","['Network Security', 'Python', 'SQL']",['Google Data Analytics'],3,Finance,"['Hackathons', 'Finance Club']",Cybersecurity Intern
Isabella,Wilson,Isabella Wilson,3.49,Cybersecurity,"['Ethical Hacking', 'Cyber Law']","['Machine Learning', 'Risk Management', 'Network Security']",['AWS Certified'],0,Finance,"['Hackathons', 'Research Assistant']",Cybersecurity Intern
Mason,Martinez,Mason Martinez,2.7,Finance,"['Financial Modeling', 'Risk Management']","['Financial Analysis', 'Python', 'Cloud Computing']",['Certified Ethical Hacker'],0,Finance,"['Coding Club', 'Student Government']",Financial Analyst Intern
Mia,Anderson,Mia Anderson,2.91,Computer Science,"['Algorithms', 'Data Structures']","['Risk Management', 'C++', 'Java']",['CFA Level 1'],2,Education,"['Research Assistant', 'Finance Club']",Financial Analyst Intern
Ethan,Taylor,Ethan Taylor,3.8,Computer Science,"['Algorithms', 'Data Structures']","['C++', 'Data Analysis', 'Financial Analysis']",['Certified Ethical Hacker'],3,Education,"['Hackathons', 'Student Government']",Data Analyst Intern
Amelia,Thomas,Amelia Thomas,3.92,Finance,"['Financial Modeling', 'Accounting']","['Python', 'Machine Learning', 'SQL']",['Certified Ethical Hacker'],3,Tech,"['Finance Club', 'Student Government']",Data Analyst Intern
James,Hernandez,James Hernandez,3.41,Software Engineering,"['Cloud Computing', 'Software Development']","['Machine Learning', 'SQL', 'Risk Management']",['CFA Level 1'],1,Education,"['Student Government', 'Finance Club']",Data Analyst Intern
Harper,Moore,Harper Moore,3.37,Business Analytics,"['SQL', 'Data Analytics']","['SQL', 'Financial Analysis', 'Risk Management']",['PMP'],2,Government,"['Student Government', 'Research Assistant']",Financial Analyst Intern
Alexander,Martin,Alexander Martin,3.62,Cybersecurity,"['Ethical Hacking', 'Cryptography']","['SQL', 'Python', 'Risk Management']",['AWS Certified'],3,Education,"['Student Government', 'Hackathons']",Financial Analyst Intern
Evelyn,Jackson,Evelyn Jackson,2.95,Business Analytics,"['Data Analytics', 'Predictive Analytics']","['Network Security', 'Financial Analysis', 'Risk Management']",['CFA Level 1'],2,Finance,"['Coding Club', 'Research Assistant']",Cybersecurity Intern
Benjamin,Thompson,Benjamin Thompson,2.83,Finance,"['Financial Modeling', 'Accounting']","['Financial Analysis', 'Java', 'SQL']",['Google Data Analytics'],2,Finance,"['Hackathons', 'Finance Club']",Financial Analyst Intern
Abigail,White,Abigail White,2.86,Finance,"['Investment Analysis', 'Financial Modeling']","['C++', 'Machine Learning', 'SQL']",['PMP'],2,Tech,"['Coding Club', 'Finance Club']",Data Analyst Intern
Liam,Smith,Liam Smith,3.87,Cybersecurity,"['Cyber Law', 'Ethical Hacking']","['SQL', 'C++', 'Data Analysis']",['CFA Level 1'],0,Education,"['Coding Club', 'Research Assistant']",Data Analyst Intern
Emma,Johnson,Emma Johnson,2.8,Computer Science,"['Machine Learning', 'Algorithms']","['Machine Learning', 'Data Analysis', 'Financial Analysis']",['CFA Level 1'],1,Tech,"['Coding Club', 'Hackathons']",Data Analyst Intern
Noah,Brown,Noah Brown,3.68,Data Analytics,"['Python for Data Science', 'Big Data']","['C++', 'Machine Learning', 'Risk Management']",['Certified Ethical Hacker'],3,Healthcare,"['Coding Club', 'Finance Club']",Data Analyst Intern
